poligono_id,anio,n_focos,pct_area_afectada
itaembe_guazu,2023,0,0.0
itaembe_guazu,2024,0,0.0
itaembe_mini,2023,0,0.0
itaembe_mini,2024,1,23.7744
chacra_32,2023,0,0.0
chacra_32,2024,0,0.0
villa_cabello,2023,0,0.0
villa_cabello,2024,0,0.0
el_brete,2023,0,0.0
el_brete,2024,0,0.0
miguel_lanus,2023,0,0.0
miguel_lanus,2024,0,0.0
villa_sarita,2023,0,0.0
villa_sarita,2024,0,0.0
nemesio_parma,2023,0,0.0
nemesio_parma,2024,0,0.0
itaembe_pora,2023,0,0.0
itaembe_pora,2024,0,0.0
villa_urquiza,2023,0,0.0
villa_urquiza,2024,0,0.0
aguas_corrientes,2023,0,0.0
aguas_corrientes,2024,0,0.0
centro,2023,0,0.0
centro,2024,0,0.0
bajada_vieja,2023,0,0.0
bajada_vieja,2024,0,0.0
villa_bonita,2023,0,0.0
villa_bonita,2024,0,0.0
